0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:32:51 +0900] "GET /JavaWebPrj/ch04/images/btn_more1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:32:51 +0900] "GET /JavaWebPrj/ch04/images/title_shop.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:32:51 +0900] "GET /JavaWebPrj/ch04/images/banner_sky_town.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:32:51 +0900] "GET /JavaWebPrj/ch04/images/photo_product1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:32:51 +0900] "GET /JavaWebPrj/ch04/images/photo_product2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:32:51 +0900] "GET /JavaWebPrj/ch04/images/photo_product3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:32:51 +0900] "GET /JavaWebPrj/ch04/images/photo_product4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:32:51 +0900] "GET /JavaWebPrj/ch04/images/btn_more2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:32:51 +0900] "GET /JavaWebPrj/ch04/images/gallery2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:32:51 +0900] "GET /JavaWebPrj/ch04/images/gallery3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:32:51 +0900] "GET /JavaWebPrj/ch04/images/gallery4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:32:51 +0900] "GET /JavaWebPrj/ch04/images/bottom_logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:32:51 +0900] "GET /JavaWebPrj/ch04/images/gallery1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:32:51 +0900] "GET /JavaWebPrj/ch04/images/bottom_sign.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:42:06 +0900] "GET /JavaWebPrj/ch04/exam1.jsp HTTP/1.1" 200 5117
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:42:07 +0900] "GET /JavaWebPrj/ch04/css/style.css HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:45:25 +0900] "GET /JavaWebPrj/ch04/exam1.jsp HTTP/1.1" 200 5117
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:45:25 +0900] "GET /JavaWebPrj/ch04/css/style.css HTTP/1.1" 200 2199
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:45:25 +0900] "GET /JavaWebPrj/ch04/images/bg_menu.jpg HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:55:49 +0900] "GET /JavaWebPrj/ch04/exam1.jsp HTTP/1.1" 200 5117
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:55:49 +0900] "GET /JavaWebPrj/ch04/images/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:55:49 +0900] "GET /JavaWebPrj/ch04/css/style.css HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:55:50 +0900] "GET /JavaWebPrj/ch04/images/label_search.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:55:50 +0900] "GET /JavaWebPrj/ch04/images/btn_search.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:55:50 +0900] "GET /JavaWebPrj/ch04/images/nav1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:55:50 +0900] "GET /JavaWebPrj/ch04/images/nav2.jpg HTTP/1.1" 304 -
